AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
-4.0,0.01812209002673626,-1.0837552547454834,0.026200471445918083,-1.133190631866455,100000.0,0.09999999999999999,case_129,10.795585632324219,98867.34375,16.888559341430664,99019.3515625,unet,0015,10.377543449401855,101174.71875,16.34014320373535,101319.3515625
-4.0,0.017845263704657555,-1.0809309482574463,0.02593454346060753,-1.134426474571228,200000.0,0.19999999999999998,case_130,9.616195678710938,98867.765625,14.949556350708008,99002.3828125,unet,0015,9.200394630432129,101175.140625,14.404891967773438,101302.3828125
-4.0,0.01889995113015175,-1.0715272426605225,0.027627892792224884,-1.1429922580718994,500000.0,0.5,case_131,2.3594305515289307,98869.1484375,3.1994500160217285,98882.5546875,unet,0015,2.2070488929748535,101176.5390625,3.0924878120422363,101182.5546875
-4.0,0.020355302840471268,-1.0526056289672852,0.029809335246682167,-1.145838737487793,1000000.0,1.0,case_132,29.325517654418945,98871.90625,48.53564453125,98453.796875,unet,0015,29.67938232421875,101179.3046875,49.074520111083984,100753.796875
-2.0,0.013967271894216537,-0.8849778175354004,0.018547099083662033,-0.8261761665344238,100000.0,0.09999999999999999,case_133,9.189199447631836,98895.7578125,14.729634284973145,99020.8828125,unet,0015,8.942300796508789,101203.1171875,14.324666023254395,101320.8828125
-2.0,0.014059539884328842,-0.8758202791213989,0.018643498420715332,-0.8269843459129333,200000.0,0.19999999999999998,case_134,8.255831718444824,98897.046875,13.157998085021973,99008.5078125,unet,0015,8.014525413513184,101204.4140625,12.760558128356934,101308.5078125
-2.0,0.01418337319046259,-0.8467336297035217,0.018800826743245125,-0.8331705331802368,500000.0,0.5,case_135,2.4544684886932373,98901.140625,3.2829580307006836,98921.1640625,unet,0015,2.2923247814178467,101208.5234375,3.0749311447143555,101221.1640625
-2.0,0.014963489025831223,-0.7933408617973328,0.020276689901947975,-0.8352230191230774,1000000.0,1.0,case_136,21.99452018737793,98908.6328125,36.7237434387207,98608.640625,unet,0015,22.174842834472656,101216.109375,37.08674621582031,100908.640625
0.0,0.015481659211218357,-0.5009468197822571,0.020621929317712784,-0.530697226524353,100000.0,0.09999999999999999,case_137,7.443681240081787,98949.7734375,12.021349906921387,99022.3515625,unet,0015,7.398616790771484,101257.2578125,11.902393341064453,101322.3515625
0.0,0.015621168538928032,-0.4908061921596527,0.02068103291094303,-0.5310782194137573,200000.0,0.19999999999999998,case_138,6.668349266052246,98951.2265625,10.744625091552734,99014.4140625,unet,0015,6.628823280334473,101256.46875,10.633649826049805,101314.4140625
0.0,0.015457375906407833,-0.4786999821662903,0.01982939802110195,-0.5350000858306885,500000.0,0.5,case_139,2.2985100746154785,98955.2265625,3.0866947174072266,98958.328125,unet,0015,2.276686191558838,101254.0703125,3.0210704803466797,101258.328125
0.0,0.01556007843464613,-0.5191137194633484,0.01994035206735134,-0.5363028049468994,1000000.0,1.0,case_140,18.763042449951172,98953.9921875,30.756290435791016,98757.65625,unet,0015,18.760454177856445,101249.984375,30.79928207397461,101057.65625
2.0,0.015286080539226532,-0.7307286858558655,0.02124212495982647,-0.6768000721931458,100000.0,0.09999999999999999,case_141,7.170549392700195,98926.515625,11.685921669006348,99021.625,unet,0015,7.279171943664551,101220.6171875,11.850980758666992,101321.625
2.0,0.0151392025873065,-0.7387300729751587,0.02115539275109768,-0.685925304889679,200000.0,0.19999999999999998,case_142,6.405031681060791,98925.4140625,10.441563606262207,99011.3203125,unet,0015,6.518383026123047,101219.4921875,10.608954429626465,101311.3203125
2.0,0.014349853619933128,-0.7627626657485962,0.019579363986849785,-0.6887551546096802,500000.0,0.5,case_143,2.083592176437378,98922.1015625,2.886497974395752,98939.1640625,unet,0015,2.0735230445861816,101216.125,2.896688222885132,101239.1640625
2.0,0.01357182115316391,-0.8029335141181946,0.01827595755457878,-0.6897013187408447,1000000.0,1.0,case_144,19.133216857910156,98916.5546875,32.153343200683594,98681.1875,unet,0015,19.001283645629883,101210.4921875,31.923660278320312,100981.1875
4.0,0.014378039166331291,-1.0113499164581299,0.021068183705210686,-0.9815045595169067,100000.0,0.09999999999999999,case_145,8.146749496459961,98887.765625,14.174928665161133,99020.109375,unet,0015,8.319575309753418,101181.3203125,14.461592674255371,101320.109375
4.0,0.01390752475708723,-1.0197385549545288,0.02053416147828102,-0.9888177514076233,200000.0,0.19999999999999998,case_146,7.251346111297607,98886.6015625,12.658247947692871,99005.28125,unet,0015,7.429570198059082,101180.1484375,12.94348430633545,101305.28125
4.0,0.012264619581401348,-1.0452032089233398,0.01862187124788761,-0.9932315349578857,500000.0,0.5,case_147,1.6787431240081787,98883.078125,2.7863664627075195,98901.21875,unet,0015,1.7007455825805664,101176.59375,2.8845772743225098,101201.21875
4.0,0.00993671640753746,-1.0886868238449097,0.016795329749584198,-0.993367075920105,1000000.0,1.0,case_148,23.362030029296875,98877.0546875,39.928199768066406,98529.8046875,unet,0015,23.193012237548828,101170.53125,39.629695892333984,100829.8046875
6.0,0.013188322074711323,-1.3117095232009888,0.019801592454314232,-1.3091075420379639,100000.0,0.09999999999999999,case_149,10.75489330291748,98846.0625,18.976741790771484,99018.4765625,unet,0015,10.862438201904297,101139.5234375,19.208820343017578,101318.4765625
6.0,0.012945649214088917,-1.3209530115127563,0.019514890387654305,-1.3227027654647827,200000.0,0.19999999999999998,case_150,9.610396385192871,98844.7734375,17.039142608642578,98998.625,unet,0015,9.715450286865234,101138.2421875,17.265548706054688,101298.625
6.0,0.010892963036894798,-1.3488000631332397,0.017997706308960915,-1.2974305152893066,500000.0,0.5,case_151,2.069018840789795,98840.8828125,3.662199020385742,98863.3046875,unet,0015,2.126981496810913,101134.3828125,3.7975950241088867,101163.3046875
6.0,0.0108839375898242,-1.3954671621322632,0.019351577386260033,-1.2999804019927979,1000000.0,1.0,case_152,29.945024490356445,98834.3671875,49.93559265136719,98376.9609375,unet,0015,29.849044799804688,101127.9140625,49.74669647216797,100676.9609375
8.0,0.015476582571864128,-1.6027352809906006,0.022858208045363426,-1.833695888519287,100000.0,0.09999999999999999,case_153,15.160480499267578,98805.4375,25.27572250366211,99015.859375,unet,0015,15.116462707519531,101099.34375,25.290937423706055,101315.859375
8.0,0.015543082728981972,-1.6107615232467651,0.022553609684109688,-1.878745198249817,200000.0,0.19999999999999998,case_154,13.693135261535645,98804.3203125,22.81862449645996,98987.5390625,unet,0015,13.641019821166992,101098.2421875,22.824935913085938,101287.5390625
